	2011	2012	2013	2014	2015	2016	2017	2018	2019	2020	2021
Emergency Medicine	147.0	143.0	177.0	156.0	180.0	192.0	200.0			329.0	401.0
Endocrinology Metabolism	1416.0	1517.0	1860.0	2205.0	2252.0	2582.0	2620.0	3113.0	4045.0	4723.0	5143.0
Energy Fuels	3540.0	4331.0	6416.0	8086.0	9332.0	10688.0	13450.0	16222.0	20066.0	22190.0	27895.0
Engineering Aerospace	401.0	495.0	664.0	804.0	1045.0	1164.0	1390.0	1738.0	2194.0	1933.0	2345.0
Engineering Biomedical	1009.0	1326.0	1530.0	2172.0	2306.0	2210.0	3436.0	2599.0	3019.0	3461.0	4571.0
Engineering Chemical	4827.0	5453.0	6692.0	7781.0	8734.0	10174.0	12073.0	14180.0	17705.0	19748.0	25709.0
Engineering Civil	1360.0	1768.0	2337.0	2799.0	3546.0	4398.0	5309.0	7717.0	8982.0	11922.0	15883.0
Engineering Electrical Electronic	7997.0	9659.0	11109.0	13690.0	15953.0	18789.0	22750.0	29634.0	39242.0	42987.0	45844.0
Engineering Environmental	2196.0	2429.0	2699.0	2992.0	3537.0	4536.0	5563.0	7182.0	8992.0	12395.0	17969.0
Engineering Geological	295.0	378.0	546.0	704.0	877.0	1092.0	1451.0	1768.0	2418.0	3177.0	3232.0
Engineering Industrial	451.0	712.0	707.0	861.0	973.0	1121.0	1305.0	1545.0	2179.0	2541.0	3036.0
Engineering Manufacturing	644.0	932.0	1220.0	1335.0	1736.0	2102.0	2531.0	2947.0	3343.0	3478.0	4048.0
Engineering Marine		85.0	137.0	187.0	317.0	357.0	509.0	665.0	1003.0	1272.0	1864.0
Engineering Mechanical	2413.0	2997.0	3982.0	4854.0	5971.0	7323.0	8437.0	9169.0	11675.0	10701.0	13424.0
Engineering Multidisciplinary	1772.0	2413.0	3117.0	3578.0	4026.0	3710.0	4260.0	5774.0	8217.0	10338.0	11256.0
Engineering Ocean	139.0	163.0	237.0	289.0	368.0	461.0	565.0	753.0	1125.0	1420.0	2126.0
Engineering Petroleum	291.0	389.0	492.0	510.0	524.0	594.0	739.0	944.0	1227.0	1227.0	1621.0
Entomology	560.0	604.0	643.0	844.0	856.0	833.0	955.0	970.0	1361.0	1503.0	1599.0
Environmental Sciences	5225.0	5736.0	7136.0	8285.0	10398.0	13102.0	15161.0	21089.0	29126.0	35716.0	43649.0
Environmental Studies	333.0	376.0	482.0	702.0	839.0	1133.0	1766.0	2844.0	3966.0	4225.0	5340.0
Ergonomics					131.0	176.0			273.0	309.0	359.0
Evolutionary Biology	335.0	417.0	506.0	583.0	592.0	550.0	625.0	646.0	865.0	897.0	979.0
Family Studies										394.0	341.0
Fisheries	541.0	528.0	767.0	704.0	890.0	1161.0	1277.0	1375.0	1868.0	1993.0	2211.0
Food Science Technology	2078.0	2784.0	3270.0	3854.0	4315.0	4397.0	6893.0	6235.0	8489.0	9689.0	13786.0
Forestry	254.0	301.0	395.0	438.0	612.0	690.0	760.0	1029.0	1503.0	1481.0	1854.0
Gastroenterology Hepatology	1781.0	2236.0	3551.0	2636.0	2585.0	2323.0	2461.0	2856.0	3697.0	3709.0	4041.0
Genetics Heredity	1883.0	2597.0	3102.0	3931.0	5035.0	5569.0	3820.0	4951.0	7466.0	8082.0	8510.0
Geochemistry Geophysics	1188.0	1400.0	1734.0	2036.0	2225.0	2527.0	3030.0	3575.0	3985.0	4438.0	6152.0
Geography	138.0	170.0	189.0	213.0	231.0	280.0	391.0	371.0	535.0	597.0	620.0
Geography Physical	463.0	578.0	757.0	1013.0	1267.0	1202.0	1468.0	1806.0	2326.0	3373.0	2492.0
Geology	476.0	493.0	535.0	598.0	629.0	647.0	900.0	915.0	1127.0	1349.0	2005.0
Geosciences Multidisciplinary	2029.0	2899.0	3661.0	4085.0	5323.0	5483.0	6030.0	7518.0	9966.0	12517.0	13380.0
Geriatrics Gerontology	189.0	280.0	553.0	613.0	750.0	815.0	865.0	1101.0	1695.0	2527.0	2955.0
Gerontology	113.0	132.0	347.0	293.0	493.0	445.0	350.0	415.0	543.0	429.0	463.0
Green Sustainable Science Technology	422.0	571.0	767.0	1252.0	1736.0	2602.0	3670.0	5640.0	7631.0	9138.0	10283.0
Health Care Sciences Services	185.0	345.0	301.0	485.0	507.0	649.0	791.0	997.0	1084.0	1944.0	3690.0
Health Policy Services	114.0	215.0	210.0	356.0	267.0	388.0	387.0	477.0	529.0	733.0	893.0
Hematology	956.0	1240.0	1372.0	1588.0	1858.0	1789.0	1501.0	1811.0	2263.0	2009.0	1825.0
Horticulture	436.0	508.0	527.0	612.0	744.0	662.0	724.0	806.0	1119.0	1093.0	1537.0
Hospitality Leisure Sport Tourism	163.0	169.0	222.0	253.0	301.0	376.0	417.0	437.0	741.0	947.0	1091.0
Imaging Science Photographic Technology	460.0	620.0	947.0	1545.0	1760.0	1934.0	2371.0	2970.0	3920.0	4366.0	6835.0
Immunology	2028.0	2343.0	2837.0	3088.0	3607.0	4180.0	4345.0	5379.0	8917.0	7962.0	9219.0
Infectious Diseases	910.0	762.0	1034.0	1214.0	1230.0	1327.0	1421.0	1727.0	2127.0	3548.0	3005.0
Information Science Library Science	204.0	272.0	329.0	357.0	392.0	434.0	478.0	543.0	719.0	949.0	1168.0
Instruments Instrumentation	1933.0	2357.0	3020.0	3462.0	4190.0	5340.0	6293.0	8329.0	9128.0	9913.0	12932.0
Integrative Complementary Medicine	831.0	1158.0	1522.0	1506.0	1529.0	1454.0	1248.0	1426.0	1787.0	2444.0	3167.0
International Relations	100.0	100.0	128.0	161.0	157.0	196.0	214.0	257.0	522.0	400.0	456.0
Language Linguistics	153.0	144.0	177.0	206.0	257.0	272.0	334.0	428.0	664.0	684.0	865.0
Law	131.0	124.0	144.0	156.0	173.0	150.0	186.0	197.0			
Limnology	257.0	238.0	268.0	303.0	312.0	320.0	335.0	433.0	524.0	557.0	516.0
Linguistics	228.0	233.0	274.0	350.0	403.0	428.0	526.0	634.0	963.0	1023.0	1330.0
Management	642.0	674.0	703.0	875.0	1006.0	1099.0	1251.0	1384.0	2132.0	2710.0	3465.0
Marine Freshwater Biology	812.0	830.0	1057.0	1118.0	1357.0	1589.0	1535.0	1699.0	2305.0	2407.0	2668.0
Materials Science Biomaterials	950.0	1097.0	1713.0	2251.0	2268.0	2268.0	2839.0	3110.0	3804.0	3758.0	4359.0
Materials Science Ceramics	997.0	1268.0	1417.0	1913.0	2049.0	2319.0	2495.0	3102.0	3595.0	3433.0	4336.0
Materials Science Characterization Testing	362.0	404.0	458.0	530.0	588.0	685.0	861.0	980.0	1244.0	1608.0	1969.0
Materials Science Coatings Films	1643.0	1627.0	1803.0	1809.0	2183.0	2035.0	2724.0	3393.0	4201.0	4196.0	5053.0
Materials Science Composites	518.0	577.0	754.0	892.0	1047.0	1315.0	1447.0	1896.0	2476.0	2443.0	3555.0
Materials Science Multidisciplinary	16791.0	18783.0	21734.0	26082.0	30339.0	32843.0	39092.0	47517.0	59152.0	62185.0	72254.0
Materials Science Paper Wood	204.0	287.0	361.0	530.0	543.0	600.0	633.0	786.0	915.0	864.0	775.0
Materials Science Textiles	320.0	402.0	551.0	698.0	743.0	804.0	1147.0	1114.0	1797.0	1660.0	2025.0
Mathematical Computational Biology	513.0	622.0	778.0	872.0	1056.0	1106.0	1314.0	1449.0	2095.0	2409.0	3234.0
Mathematics	3849.0	4580.0	5350.0	5984.0	5137.0	5601.0	5700.0	5862.0	6783.0	7878.0	8352.0
Mathematics Applied	5406.0	6209.0	7340.0	8168.0	6501.0	6855.0	7377.0	7981.0	9039.0	9845.0	10785.0
Mathematics Interdisciplinary Applications	1609.0	2556.0	3532.0	4107.0	3984.0	3237.0	3452.0	4398.0	4860.0	7512.0	7741.0
Mechanics	2395.0	2941.0	3399.0	4330.0	5278.0	6338.0	7251.0	8487.0	9931.0	10465.0	12317.0
Medical Informatics	90.0	135.0	134.0	156.0	197.0	244.0	321.0	397.0	662.0	1021.0	1095.0
Medical Laboratory Technology	316.0	283.0	379.0	375.0	493.0	567.0	596.0	803.0	1001.0	1286.0	1195.0
Medicine General Internal	1487.0	1875.0	2382.0	2644.0	3216.0	3801.0	4663.0	5535.0	6883.0	8883.0	10607.0
Medicine Legal	84.0				137.0	167.0	248.0	185.0	237.0		
Medicine Research Experimental	1989.0	2842.0	3966.0	5746.0	9461.0	10671.0	12222.0	13279.0	14889.0	17709.0	15629.0
Metallurgy Metallurgical Engineering	5563.0	5365.0	5942.0	6335.0	7118.0	7396.0	8716.0	9620.0	11702.0	12543.0	14843.0
Meteorology Atmospheric Sciences	1354.0	1777.0	2239.0	1963.0	2556.0	2798.0	3197.0	3555.0	4403.0	4544.0	5316.0
Microbiology	1831.0	2065.0	2206.0	2267.0	2711.0	2877.0	3625.0	4076.0	4698.0	6461.0	7346.0
Microscopy	100.0	120.0	134.0	111.0		139.0		177.0			
